Station,Date,Range,Hi,Lo
8726520,2004-12-20T05:00:00,1.460000,1.552000,0.092000
8726520,2004-12-27T05:00:00,3.898000,3.386000,-0.512000
8726520,2005-01-03T05:00:00,1.581000,1.775000,0.194000
8726520,2005-01-10T05:00:00,1.956000,1.024000,-0.932000
8726520,2005-01-18T05:00:00,1.884000,1.185000,-0.699000
8726520,2005-01-24T05:00:00,0.479000,0.532000,0.053000
8726520,2005-01-31T05:00:00,1.562000,2.556000,0.994000
8726520,2005-02-07T05:00:00,3.786000,3.120000,-0.666000
8726520,2005-02-14T05:00:00,1.549000,2.576000,1.027000
8726520,2005-02-21T05:00:00,1.939000,1.509000,-0.430000
8726520,2005-02-28T05:00:00,2.411000,3.110000,0.699000
8726520,2005-03-07T05:00:00,2.893000,2.129000,-0.764000
8726520,2005-03-14T05:00:00,1.932000,2.070000,0.138000
8726520,2005-03-21T05:00:00,2.437000,1.870000,-0.567000
8726520,2005-03-28T05:00:00,2.021000,2.589000,0.568000
8726520,2005-04-05T04:00:00,2.674000,1.956000,-0.718000
8726520,2005-04-11T04:00:00,2.514000,2.307000,-0.207000
8726520,2005-04-18T04:00:00,2.458000,1.559000,-0.899000
8726520,2005-04-25T04:00:00,2.116000,2.024000,-0.092000
8726520,2005-05-02T04:00:00,2.910000,2.966000,0.056000
8726520,2005-05-09T04:00:00,2.710000,2.720000,0.010000
8726520,2005-05-16T04:00:00,2.117000,2.307000,0.190000
8726520,2005-05-23T04:00:00,2.651000,2.490000,-0.161000
8726520,2005-05-30T04:00:00,2.320000,2.353000,0.033000
8726520,2005-06-06T04:00:00,2.871000,2.789000,-0.082000
8726520,2005-06-14T04:00:00,1.834000,2.129000,0.295000
8726520,2005-06-20T04:00:00,2.756000,2.618000,-0.138000
8726520,2005-06-27T04:00:00,2.746000,2.763000,0.017000
8726520,2005-07-05T04:00:00,2.736000,2.684000,-0.052000
8726520,2005-07-12T04:00:00,0.466000,2.579000,2.113000
8726520,2005-07-18T04:00:00,2.530000,2.615000,0.085000
8726520,2005-07-20T04:00:00,3.281000,3.143000,-0.138000
8726520,2005-07-21T04:00:00,3.320000,3.255000,-0.065000
8726520,2005-07-25T04:00:00,1.644000,2.556000,0.912000
8726520,2005-08-01T04:00:00,2.444000,2.543000,0.099000
8726520,2005-08-08T04:00:00,2.391000,2.536000,0.145000
8726520,2005-08-15T04:00:00,2.356000,2.645000,0.289000
8726520,2005-08-22T04:00:00,2.309000,2.969000,0.660000
8726520,2005-08-29T04:00:00,2.346000,3.603000,1.257000
8726520,2005-09-06T04:00:00,1.509000,2.244000,0.735000
8726520,2005-09-12T04:00:00,2.191000,2.362000,0.171000
8726520,2005-09-19T04:00:00,1.988000,2.943000,0.955000
8726520,2005-09-26T04:00:00,1.952000,2.677000,0.725000
8726520,2005-10-03T04:00:00,1.460000,2.353000,0.893000
8726520,2005-10-10T04:00:00,2.809000,3.229000,0.420000
8726520,2005-10-18T04:00:00,1.935000,2.421000,0.486000
8726520,2005-10-25T04:00:00,3.120000,1.900000,-1.220000
8726520,2005-11-01T05:00:00,1.759000,1.772000,0.013000
8726520,2005-11-07T05:00:00,2.720000,2.966000,0.246000
8726520,2005-11-14T05:00:00,1.663000,1.949000,0.286000
8726520,2005-11-21T05:00:00,2.424000,2.139000,-0.285000
8726520,2005-11-28T05:00:00,2.027000,2.523000,0.496000
8726520,2005-12-05T05:00:00,2.956000,2.897000,-0.059000
8726520,2005-12-12T05:00:00,1.719000,1.788000,0.069000
8726520,2005-12-19T05:00:00,2.733000,2.425000,-0.308000
8726520,2005-12-27T05:00:00,1.417000,1.447000,0.030000
8726520,2006-01-03T05:00:00,2.979000,2.891000,-0.088000
8726520,2006-01-09T05:00:00,2.431000,1.946000,-0.485000
8726520,2006-01-17T05:00:00,2.189000,1.969000,-0.220000
8726520,2006-01-23T05:00:00,1.715000,2.047000,0.332000
8726520,2006-01-30T05:00:00,1.873000,1.552000,-0.321000
8726520,2006-02-06T05:00:00,2.050000,1.821000,-0.229000
8726520,2006-02-15T05:00:00,1.689000,1.322000,-0.367000
8726520,2006-02-20T05:00:00,1.345000,1.923000,0.578000
8726520,2006-02-27T05:00:00,0.578000,0.627000,0.049000
8726520,2006-03-06T05:00:00,2.660000,2.129000,-0.531000
8726520,2006-03-13T05:00:00,1.434000,1.490000,0.056000
8726520,2006-03-20T05:00:00,1.372000,2.215000,0.843000
8726520,2006-03-28T05:00:00,1.483000,1.007000,-0.476000
8726520,2006-04-03T04:00:00,1.326000,2.671000,1.345000
8726520,2006-04-10T04:00:00,1.027000,1.742000,0.715000
8726520,2006-04-17T04:00:00,1.027000,1.742000,0.715000
8726520,2006-04-24T04:00:00,1.027000,1.742000,0.715000
8726520,2006-05-01T04:00:00,1.181000,0.820000,-0.361000
8726520,2006-05-08T04:00:00,1.299000,2.205000,0.906000
8726520,2006-05-15T04:00:00,2.655000,2.727000,0.072000
8726520,2006-05-22T04:00:00,1.601000,1.919000,0.318000
8726520,2006-05-29T04:00:00,3.045000,2.756000,-0.289000
8726520,2006-06-05T04:00:00,1.099000,1.755000,0.656000
8726520,2006-06-12T04:00:00,2.602000,3.353000,0.751000
8726520,2006-06-19T04:00:00,1.746000,1.841000,0.095000
8726520,2006-06-26T04:00:00,2.920000,2.848000,-0.072000
8726520,2006-06-28T04:00:00,2.969000,2.927000,-0.042000
8726520,2006-07-03T04:00:00,1.338000,1.696000,0.358000
8726520,2006-07-10T04:00:00,3.012000,2.658000,-0.354000
8726520,2006-07-17T04:00:00,1.467000,1.900000,0.433000
8726520,2006-07-24T04:00:00,2.737000,2.868000,0.131000
8726520,2006-07-31T04:00:00,1.174000,2.024000,0.850000
8726520,2006-08-07T04:00:00,2.729000,2.654000,-0.075000
8726520,2006-08-08T04:00:00,3.136000,2.910000,-0.226000
8726520,2006-08-14T04:00:00,1.499000,2.149000,0.650000
8726520,2006-08-21T04:00:00,2.451000,2.779000,0.328000
8726520,2006-08-28T04:00:00,1.470000,2.238000,0.768000
8726520,2006-09-05T04:00:00,2.681000,2.855000,0.174000
8726520,2006-09-11T04:00:00,1.979000,2.543000,0.564000
8726520,2006-09-18T04:00:00,2.185000,2.930000,0.745000
8726520,2006-09-20T04:00:00,1.756000,3.009000,1.253000
8726520,2006-09-25T04:00:00,1.807000,2.572000,0.765000
8726520,2006-10-02T04:00:00,2.185000,2.228000,0.043000
8726520,2006-10-09T04:00:00,2.624000,2.900000,0.276000
8726520,2006-10-16T04:00:00,1.417000,1.952000,0.535000
8726520,2006-10-23T04:00:00,2.073000,2.549000,0.476000
8726520,2006-10-30T05:00:00,1.982000,1.726000,-0.256000
8726520,2006-11-06T05:00:00,2.119000,1.755000,-0.364000
8726520,2006-11-13T05:00:00,1.949000,2.271000,0.322000
8726520,2006-11-20T05:00:00,1.621000,1.332000,-0.289000
8726520,2006-11-28T05:00:00,1.794000,1.673000,-0.121000
8726520,2006-12-04T05:00:00,1.821000,1.408000,-0.413000
8726520,2006-12-11T05:00:00,1.689000,1.273000,-0.416000
8726520,2006-12-18T05:00:00,2.346000,2.205000,-0.141000
8726520,2006-12-26T05:00:00,1.506000,2.707000,1.201000
8726520,2006-12-27T05:00:00,1.752000,2.015000,0.263000
8726520,2007-01-02T05:00:00,2.638000,2.566000,-0.072000
8726520,2007-01-08T05:00:00,2.133000,2.248000,0.115000
8726520,2007-01-16T05:00:00,2.533000,2.323000,-0.210000
8726520,2007-01-22T05:00:00,2.231000,2.123000,-0.108000
8726520,2007-01-29T05:00:00,1.103000,1.736000,0.633000
8726520,2007-02-06T05:00:00,1.752000,0.975000,-0.777000
8726520,2007-02-12T05:00:00,2.280000,1.716000,-0.564000
8726520,2007-02-20T05:00:00,1.726000,0.876000,-0.850000
8726520,2007-02-26T05:00:00,2.553000,2.563000,0.010000
8726520,2007-03-05T05:00:00,1.942000,1.486000,-0.456000
8726520,2007-03-12T04:00:00,2.060000,1.965000,-0.095000
8726520,2007-03-19T04:00:00,2.208000,1.900000,-0.308000
8726520,2007-03-26T04:00:00,2.500000,2.018000,-0.482000
8726520,2007-04-02T04:00:00,1.581000,2.113000,0.532000
8726520,2007-04-09T04:00:00,2.185000,1.677000,-0.508000
8726520,2007-04-16T04:00:00,2.214000,2.920000,0.706000
8726520,2007-04-23T04:00:00,3.035000,2.382000,-0.653000
8726520,2007-04-30T04:00:00,1.650000,1.644000,-0.006000
8726520,2007-05-07T04:00:00,1.026000,2.818000,1.792000
8726520,2007-05-15T04:00:00,2.441000,2.615000,0.174000
8726520,2007-05-21T04:00:00,3.081000,2.520000,-0.561000
8726520,2007-05-29T04:00:00,1.949000,2.576000,0.627000
8726520,2007-06-04T04:00:00,2.906000,3.051000,0.145000
8726520,2007-06-11T04:00:00,1.677000,2.376000,0.699000
8726520,2007-06-18T04:00:00,3.005000,2.940000,-0.065000
8726520,2007-06-25T04:00:00,1.697000,2.389000,0.692000
8726520,2007-07-02T04:00:00,2.976000,2.966000,-0.010000
8726520,2007-07-09T04:00:00,1.887000,2.369000,0.482000
8726520,2007-07-16T04:00:00,2.924000,2.973000,0.049000
8726520,2007-07-23T04:00:00,1.368000,2.169000,0.801000
8726520,2007-07-30T04:00:00,2.782000,3.061000,0.279000
8726520,2007-08-06T04:00:00,2.028000,2.284000,0.256000
8726520,2007-08-13T04:00:00,2.588000,3.061000,0.473000
